temperature,solar_irradiance,cloud_cover,humidity,wind_speed,rainfall,dust_level,hour,month,solar_power,wind_power,total_power
15.34,0.0,57.71,95.0,1.16,0.0,2.66,0,1,0.0,10.22,10.22
13.59,0.0,29.7,90.68,4.82,0.0,1.98,1,1,0.0,24.01,24.01
14.27,0.0,20.91,87.25,5.49,0.0,3.71,2,1,23.7,63.15,86.85
15.42,0.0,11.9,89.16,7.65,0.0,2.99,3,1,19.53,304.2,323.73
12.95,0.0,14.25,89.03,3.26,0.0,4.97,4,1,0.0,0.0,0.0
13.45,0.0,11.17,84.42,2.46,0.0,2.32,5,1,0.0,11.01,11.01
16.96,16.17,9.54,74.41,7.26,0.0,2.99,6,1,48.41,253.46,301.87
16.78,188.99,45.1,74.63,5.04,0.0,2.78,7,1,502.78,37.51,540.3
16.13,481.74,19.68,79.94,1.16,0.0,2.49,8,1,1359.01,25.91,1384.92
18.94,661.45,26.83,79.01,4.19,0.0,3.81,9,1,1892.32,1.41,1893.73
18.73,777.37,28.18,86.03,0.77,0.0,3.0,10,1,2278.98,25.54,2304.51
19.93,783.59,38.97,74.63,2.28,0.0,3.16,11,1,2184.72,8.3,2193.02
22.03,741.47,46.42,70.17,1.22,0.0,3.06,12,1,2133.71,26.65,2160.37
19.59,838.08,24.62,78.08,2.15,0.0,3.86,13,1,2302.4,0.0,2302.4
20.37,790.15,28.39,78.38,3.69,0.0,4.57,14,1,2203.44,0.0,2203.44
22.29,620.73,23.23,68.02,2.68,0.0,2.24,15,1,1782.63,14.89,1797.53
21.44,424.44,27.9,67.92,1.37,0.0,2.88,16,1,1229.96,0.0,1229.96
22.93,234.77,26.27,77.04,3.65,0.0,3.44,17,1,677.67,0.0,677.67
20.3,6.27,35.49,74.06,5.0,0.0,3.38,18,1,38.13,71.2,109.32
18.51,0.0,13.58,86.63,1.05,0.0,3.87,19,1,0.0,0.0,0.0
21.62,0.0,16.26,75.68,6.58,0.0,2.45,20,1,10.5,158.38,168.88
17.79,0.0,43.62,77.49,4.63,0.0,2.85,21,1,5.65,5.29,10.94
16.94,0.0,32.89,69.65,3.85,0.0,3.91,22,1,0.0,19.66,19.66
13.49,0.0,19.36,83.29,3.2,0.0,2.48,23,1,24.01,0.0,24.01
13.8,0.0,58.4,74.99,3.18,0.0,3.26,0,1,34.97,0.0,34.97
13.99,0.0,3.53,72.36,2.88,0.0,2.23,1,1,4.8,19.05,23.86
11.6,0.0,25.68,95.0,1.58,0.0,5.22,2,1,0.0,0.0,0.0
13.72,0.0,24.28,79.05,1.29,0.0,3.26,3,1,29.01,0.0,29.01
12.42,0.0,45.06,91.64,2.73,0.0,4.39,4,1,0.0,0.0,0.0
13.39,0.0,20.12,74.48,4.72,0.0,3.14,5,1,13.65,0.0,13.65
13.72,0.0,24.2,77.26,2.62,0.0,3.71,6,1,0.0,0.0,0.0
18.43,231.17,27.77,70.88,5.82,0.0,3.41,7,1,617.32,53.96,671.27
16.84,455.89,11.46,84.68,3.11,0.0,4.04,8,1,1267.32,0.0,1267.32
16.57,643.25,29.58,83.1,4.49,0.0,3.93,9,1,1837.73,2.26,1839.99
20.68,770.26,27.14,64.0,3.38,0.0,2.8,10,1,2186.2,7.43,2193.63
18.82,745.05,48.17,65.5,3.73,0.0,2.8,11,1,2133.76,0.0,2133.76
22.0,589.42,68.5,76.86,2.41,0.0,3.93,12,1,1690.29,0.0,1690.29
19.55,729.27,47.7,86.43,3.82,0.0,4.97,13,1,2047.06,8.37,2055.43
20.99,812.97,22.62,84.29,1.54,0.0,2.71,14,1,2383.1,6.93,2390.02
23.45,672.65,10.82,65.05,3.15,0.0,2.5,15,1,1941.57,9.12,1950.7
24.09,445.92,16.27,67.03,3.47,0.0,1.92,16,1,1314.09,7.26,1321.35
22.74,241.4,17.64,75.91,4.97,0.0,3.67,17,1,689.33,51.58,740.91
21.52,8.76,10.49,77.95,3.22,0.0,3.22,18,1,0.0,7.57,7.57
20.2,0.0,45.3,76.76,4.71,0.0,3.14,19,1,27.08,16.59,43.67
17.23,0.0,39.52,75.41,1.97,0.0,3.42,20,1,0.0,27.95,27.95
17.08,0.0,25.03,82.31,0.72,0.0,3.49,21,1,0.92,26.78,27.7
16.17,0.0,23.64,80.91,3.78,0.0,3.23,22,1,13.14,0.0,13.14
17.24,0.0,36.1,79.92,3.61,0.0,3.64,23,1,0.0,8.06,8.06
15.16,0.0,30.03,87.95,4.74,0.0,3.93,0,1,0.0,21.08,21.08
11.21,0.0,21.4,94.45,2.76,0.0,3.92,1,1,0.0,13.37,13.37
13.84,0.0,21.89,85.19,0.78,0.0,3.25,2,1,0.0,10.96,10.96
12.6,0.0,44.26,86.24,5.1,0.0,3.35,3,1,0.0,11.12,11.12
12.34,0.0,15.35,82.95,7.6,0.0,2.36,4,1,0.0,327.19,327.19
14.77,0.0,44.34,82.33,3.19,0.0,2.57,5,1,0.0,7.93,7.93
16.19,31.47,32.53,85.64,4.37,0.0,4.25,6,1,68.26,28.58,96.83
17.08,189.8,56.57,82.46,3.99,0.0,2.42,7,1,526.07,24.4,550.48
15.63,470.97,22.02,75.91,4.11,0.0,2.04,8,1,1354.96,10.84,1365.81
17.72,649.43,10.45,72.97,6.4,0.0,3.85,9,1,1828.96,143.18,1972.14
19.97,772.34,31.5,70.02,5.2,0.0,3.78,10,1,2207.57,48.98,2256.55
22.14,948.24,13.56,81.62,5.45,0.0,3.37,11,1,2727.9,62.14,2790.04
21.0,976.01,13.06,60.52,1.38,0.0,3.98,12,1,2786.51,0.0,2786.51
22.23,680.05,54.48,61.48,1.79,0.0,1.48,13,1,1991.01,0.0,1991.01
21.35,674.62,45.83,68.46,4.7,0.0,3.61,14,1,1899.42,20.09,1919.51
21.39,664.83,25.14,79.37,3.97,0.0,2.9,15,1,1873.19,37.55,1910.74
24.23,440.48,28.97,67.79,5.49,0.0,2.86,16,1,1272.83,54.1,1326.93
24.55,237.72,27.92,62.93,1.41,0.0,4.12,17,1,665.98,1.92,667.9
21.61,0.0,36.28,75.91,4.11,0.0,4.26,18,1,2.23,9.31,11.54
22.19,0.0,21.56,75.63,3.67,0.0,2.51,19,1,5.41,11.83,17.24
20.02,0.0,1.4,81.27,6.25,0.0,4.04,20,1,27.8,124.41,152.21
17.21,0.0,8.29,89.25,2.05,0.0,4.51,21,1,11.83,23.29,35.12
17.43,0.0,17.48,87.94,2.95,0.0,3.18,22,1,7.8,5.67,13.47
17.99,0.0,21.44,81.86,1.82,0.0,3.3,23,1,0.0,14.68,14.68
14.62,0.0,38.3,80.78,3.49,0.0,3.68,0,1,37.98,2.02,39.99
16.23,0.0,48.25,82.97,6.57,0.0,2.45,1,1,0.0,126.97,126.97
10.0,0.0,17.21,83.72,4.74,0.0,2.24,2,1,0.0,16.04,16.04
14.44,0.0,26.89,88.8,5.26,0.0,5.86,3,1,10.88,61.55,72.43
13.51,0.0,37.93,78.81,1.41,0.0,3.14,4,1,0.0,10.33,10.33
13.43,0.0,17.19,76.82,3.49,0.0,1.58,5,1,16.99,16.47,33.46
14.81,0.0,46.38,88.83,6.08,0.0,3.7,6,1,40.8,118.67,159.47
12.73,260.48,7.67,72.2,6.07,0.0,3.95,7,1,720.72,106.33,827.06
16.59,461.08,24.57,74.31,9.47,0.0,1.41,8,1,1355.71,798.83,2154.54
18.75,651.62,24.47,81.31,3.89,0.0,2.85,9,1,1859.27,23.79,1883.06
21.72,727.23,37.27,72.25,0.5,0.0,4.12,10,1,2055.52,24.12,2079.64
19.93,947.35,11.17,74.06,6.81,0.0,3.93,11,1,2688.81,211.16,2899.97
20.53,790.96,46.58,65.96,7.96,0.0,3.05,12,1,2275.43,415.17,2690.6
21.79,797.39,40.29,65.09,7.29,0.0,2.34,13,1,2328.23,236.73,2564.96
24.41,803.05,25.11,68.25,5.47,0.0,4.44,14,1,2214.16,55.09,2269.25
23.7,664.64,21.79,58.54,2.2,0.0,2.13,15,1,1946.45,0.0,1946.45
22.24,435.63,36.2,72.23,1.74,0.0,5.33,16,1,1206.48,0.0,1206.48
23.31,199.43,40.91,80.12,4.94,0.0,3.91,17,1,613.55,50.44,663.99
21.89,12.97,43.01,81.12,1.75,0.0,2.46,18,1,31.85,0.0,31.85
22.16,0.0,17.05,76.67,7.88,0.0,3.02,19,1,45.07,379.16,424.23
18.45,0.0,14.86,78.39,3.46,0.0,2.81,20,1,28.81,0.0,28.81
17.72,0.0,14.77,77.08,0.8,0.0,3.43,21,1,24.63,19.88,44.51
16.33,0.0,44.57,79.86,1.82,0.0,3.23,22,1,1.81,3.52,5.33
13.51,0.0,25.1,75.99,2.64,0.0,4.1,23,1,39.46,3.3,42.76
15.15,0.0,12.37,76.3,4.96,0.0,3.39,0,1,0.0,46.1,46.1
14.3,0.0,38.38,69.79,5.2,0.0,3.27,1,1,17.15,45.19,62.34
13.42,0.0,39.73,89.63,2.2,0.0,3.12,2,1,48.0,0.0,48.0
12.89,0.0,21.89,82.7,4.6,0.0,4.25,3,1,0.0,0.0,0.0
11.29,0.0,9.49,95.0,0.81,0.0,4.58,4,1,13.33,24.92,38.26
13.28,0.0,73.69,78.81,1.48,0.0,2.27,5,1,0.0,0.0,0.0
14.19,0.0,23.59,81.91,3.94,0.0,4.35,6,1,48.78,0.0,48.78
14.54,218.99,35.85,86.65,4.96,0.0,4.76,7,1,602.49,32.1,634.59
16.7,476.47,22.58,81.98,7.05,0.0,2.83,8,1,1366.53,204.47,1571.0
18.85,685.04,15.23,75.8,3.41,0.0,3.22,9,1,1941.18,8.54,1949.72
22.36,712.71,32.85,84.95,1.61,0.0,3.17,10,1,2026.66,4.22,2030.88
21.0,929.5,11.95,67.1,7.32,0.0,3.92,11,1,2618.01,268.56,2886.56
22.16,833.49,37.27,76.99,3.41,0.0,2.82,12,1,2405.82,0.0,2405.82
22.46,668.92,58.57,68.91,3.73,0.0,4.55,13,1,1864.83,27.5,1892.33
20.19,803.64,20.31,73.77,6.25,0.0,1.05,14,1,2316.99,131.69,2448.68
23.2,674.07,18.73,73.02,4.22,0.0,3.3,15,1,1935.2,33.41,1968.6
23.16,485.21,13.36,70.3,2.7,0.0,3.16,16,1,1431.55,0.0,1431.55
26.26,230.6,19.31,66.29,3.97,0.0,2.81,17,1,622.57,25.94,648.5
21.49,0.0,21.99,62.16,4.46,0.0,3.88,18,1,10.21,9.48,19.7
21.19,0.0,45.94,80.02,6.68,0.0,3.45,19,1,72.49,171.32,243.81
19.48,0.0,33.2,64.51,2.33,0.0,3.64,20,1,0.0,2.94,2.94
16.49,0.0,43.54,89.5,4.07,0.0,3.81,21,1,0.0,6.31,6.31
18.66,0.0,19.61,75.85,7.16,0.0,5.24,22,1,0.0,251.45,251.45
16.87,0.0,31.4,85.42,0.97,0.0,5.68,23,1,29.53,7.29,36.82
15.92,0.0,29.87,62.43,2.09,0.0,2.58,0,1,22.87,0.0,22.87
12.58,0.0,3.84,83.63,2.93,0.0,2.35,1,1,0.0,26.38,26.38
15.55,0.0,4.39,80.25,4.79,0.0,3.17,2,1,6.88,42.03,48.9
11.17,0.0,4.96,79.24,6.11,0.0,2.64,3,1,0.0,133.52,133.52
14.32,0.0,23.96,88.01,2.12,0.0,3.91,4,1,0.0,0.0,0.0
17.23,0.0,40.62,73.86,2.4,0.0,3.38,5,1,0.0,0.0,0.0
13.25,0.0,14.5,76.78,5.92,0.0,4.21,6,1,0.0,85.94,85.94
14.92,249.69,9.11,78.5,1.8,0.0,3.4,7,1,694.61,0.3,694.91
17.13,471.64,17.73,85.32,2.48,0.0,4.1,8,1,1330.04,9.49,1339.53
17.52,637.74,25.68,79.94,5.17,0.0,4.29,9,1,1830.56,43.36,1873.93
17.24,819.51,13.52,81.12,1.92,0.0,2.7,10,1,2341.39,0.0,2341.39
20.87,939.42,10.43,79.4,5.97,0.0,1.66,11,1,2728.46,109.54,2838.0
20.21,974.84,9.87,73.2,3.7,0.0,3.37,12,1,2788.33,1.48,2789.81
23.31,526.73,67.99,78.48,3.47,0.0,3.03,13,1,1495.92,7.57,1503.5
21.72,857.77,8.16,75.64,1.72,0.0,3.82,14,1,2404.76,0.0,2404.76
25.6,599.37,34.62,74.29,4.8,0.0,3.92,15,1,1693.8,12.99,1706.79
21.93,298.31,66.97,67.09,6.6,0.0,2.92,16,1,854.55,149.8,1004.36
22.12,190.85,44.71,73.15,4.88,0.0,4.13,17,1,527.07,30.05,557.12
23.03,0.51,10.4,78.19,2.78,0.0,4.12,18,1,24.26,0.0,24.26
18.93,0.0,57.85,89.43,4.93,0.0,2.38,19,1,0.0,32.87,32.87
19.91,0.0,8.55,82.68,3.8,0.0,2.38,20,1,27.96,0.0,27.96
20.23,0.0,17.41,82.62,6.24,0.0,4.05,21,1,7.91,152.22,160.12
14.57,0.0,22.0,70.31,3.53,0.0,2.68,22,1,0.0,13.1,13.1
16.05,0.0,11.16,77.61,2.34,0.0,4.94,23,1,9.48,0.0,9.48
15.16,0.0,29.09,85.28,1.47,0.0,3.3,0,1,0.0,17.71,17.71
15.15,0.0,14.76,70.96,2.59,0.0,4.43,1,1,0.0,5.36,5.36
11.62,0.0,66.71,88.25,4.1,0.0,2.91,2,1,0.0,8.93,8.93
11.33,0.0,20.81,82.78,1.94,0.0,2.99,3,1,0.0,0.0,0.0
14.26,0.0,40.3,79.65,0.91,0.0,2.08,4,1,55.01,1.31,56.32
14.42,0.0,57.79,82.21,3.47,0.0,3.16,5,1,0.0,0.0,0.0
15.15,28.66,35.1,83.65,2.94,0.0,2.79,6,1,88.09,22.47,110.56
16.33,183.18,65.86,85.25,3.32,0.0,2.1,7,1,511.26,0.0,511.26
15.99,385.78,43.72,71.19,3.5,0.0,3.5,8,1,1092.72,0.56,1093.28
18.65,633.11,31.92,84.17,5.42,0.0,4.95,9,1,1772.29,47.14,1819.43
20.04,811.31,23.06,80.01,8.1,0.0,2.85,10,1,2392.7,404.38,2797.08
19.73,976.76,6.95,73.32,2.48,0.0,3.35,11,1,2789.45,0.0,2789.45
24.64,923.17,24.44,77.05,7.6,0.0,5.21,12,1,2514.79,308.68,2823.47
23.35,954.87,13.13,57.64,2.29,0.0,3.98,13,1,2732.13,0.0,2732.13
21.35,633.38,49.78,74.7,5.34,0.0,3.14,14,1,1833.92,49.79,1883.71
24.29,672.84,13.08,65.4,4.81,0.0,2.35,15,1,1877.99,42.03,1920.03
21.67,399.95,28.3,64.63,1.04,0.0,3.08,16,1,1106.06,2.59,1108.65
23.82,202.49,39.33,58.55,5.11,0.0,2.71,17,1,571.36,45.39,616.75
23.58,0.0,11.82,75.76,6.85,0.0,2.85,18,1,0.0,203.51,203.51
19.58,0.0,29.22,79.6,7.34,0.0,3.2,19,1,0.0,275.58,275.58
21.05,0.0,18.36,83.33,4.84,0.0,3.01,20,1,0.0,16.02,16.02
18.93,0.0,36.11,81.61,5.59,0.0,1.89,21,1,23.66,78.78,102.45
18.25,0.0,8.73,74.75,1.23,0.0,3.47,22,1,26.69,0.0,26.69
18.65,0.0,65.76,95.0,1.89,0.0,3.03,23,1,0.0,16.12,16.12
14.44,0.0,31.38,89.79,2.48,0.0,3.1,0,1,50.75,11.31,62.06
12.88,0.0,59.08,74.34,3.92,0.0,3.68,1,1,36.27,0.0,36.27
12.18,0.0,44.87,83.35,3.14,0.0,3.12,2,1,0.0,0.0,0.0
12.12,0.0,16.22,86.27,4.66,0.0,3.92,3,1,0.0,33.37,33.37
13.4,0.0,40.97,80.82,3.46,0.0,3.59,4,1,0.0,3.54,3.54
14.52,0.0,53.57,95.0,5.5,0.0,3.51,5,1,0.0,77.65,77.65
15.22,0.0,47.07,78.41,5.03,0.0,3.36,6,1,0.0,38.22,38.22
17.08,230.81,30.76,75.41,5.28,0.0,2.76,7,1,668.0,43.47,711.46
17.07,478.14,14.98,84.45,5.98,0.0,4.18,8,1,1324.85,82.99,1407.83
20.52,572.01,37.56,75.34,6.03,0.0,4.56,9,1,1612.46,91.67,1704.14
19.24,733.12,35.86,74.14,5.53,0.0,3.05,10,1,2157.84,85.04,2242.87
24.92,885.23,20.37,86.42,1.18,0.0,4.05,11,1,2535.95,0.0,2535.95
22.82,987.46,11.12,83.91,4.45,0.0,2.97,12,1,2814.31,29.16,2843.47
21.39,878.29,32.47,62.05,0.64,0.0,2.37,13,1,2540.0,0.0,2540.0
21.57,856.12,13.41,88.11,5.25,0.0,2.76,14,1,2479.26,27.57,2506.83
24.07,654.57,20.39,68.69,1.13,0.0,2.5,15,1,1936.27,5.33,1941.6
22.84,415.98,38.91,80.67,9.1,0.0,5.03,16,1,1155.66,682.75,1838.41
23.74,272.62,12.78,86.37,4.39,0.0,3.22,17,1,749.51,55.33,804.84
22.59,0.0,8.36,78.37,2.02,0.0,3.58,18,1,16.58,0.0,16.58
20.73,0.0,5.95,92.37,3.58,0.0,4.45,19,1,0.0,0.0,0.0
18.37,0.0,34.89,83.79,5.96,0.0,2.65,20,1,0.0,111.14,111.14
16.07,0.0,36.05,84.75,2.0,0.0,2.88,21,1,25.46,0.0,25.46
16.38,0.0,21.26,87.42,3.95,0.0,2.91,22,1,31.37,13.13,44.51
17.13,0.0,45.01,68.54,0.5,0.0,2.69,23,1,41.09,2.97,44.06
15.17,0.0,23.18,79.17,5.61,0.0,4.04,0,1,39.09,87.59,126.67
12.18,0.0,23.85,75.81,2.09,0.0,5.28,1,1,17.48,19.16,36.64
13.81,0.0,21.42,81.0,3.15,0.0,4.75,2,1,0.0,6.59,6.59
13.96,0.0,5.74,85.85,3.91,0.0,2.1,3,1,0.0,25.9,25.9
12.23,0.0,17.23,83.15,1.78,0.0,4.27,4,1,0.0,7.09,7.09
14.28,0.0,6.03,80.71,7.27,0.0,5.08,5,1,0.0,244.93,244.93
14.93,0.0,18.47,70.23,3.58,0.0,2.89,6,1,0.0,0.0,0.0
14.17,188.75,40.14,77.8,2.31,0.0,2.39,7,1,544.01,0.0,544.01
17.62,529.07,4.58,91.2,5.19,0.0,4.73,8,1,1463.77,33.69,1497.46
19.22,662.54,17.53,71.48,6.74,0.0,3.71,9,1,1884.58,217.21,2101.8
21.3,818.14,17.34,70.68,7.03,0.0,4.08,10,1,2277.89,223.64,2501.53
22.46,795.61,37.43,73.91,3.38,0.0,3.79,11,1,2262.56,0.0,2262.56
19.85,931.1,14.16,78.15,3.0,0.0,4.44,12,1,2573.86,0.0,2573.86
21.3,768.12,42.9,72.34,7.32,0.0,4.12,13,1,2170.73,232.19,2402.93
23.98,829.16,15.17,59.05,1.05,0.0,3.75,14,1,2337.62,0.0,2337.62
24.15,535.35,44.14,74.35,5.3,0.0,4.24,15,1,1514.55,25.15,1539.7
23.98,429.26,40.97,85.59,1.99,0.0,4.49,16,1,1240.54,0.0,1240.54
28.49,258.59,26.98,79.5,3.56,0.0,4.01,17,1,666.09,0.0,666.09
22.77,0.0,22.51,65.93,7.89,0.0,3.16,18,1,0.0,357.31,357.31
22.58,0.0,8.89,75.12,4.2,0.0,3.88,19,1,9.05,0.0,9.05
21.11,0.0,27.24,93.91,3.87,0.0,4.16,20,1,0.0,0.0,0.0
19.36,0.0,44.31,75.74,1.14,0.0,3.95,21,1,2.24,0.0,2.24
16.61,0.0,10.9,81.1,2.56,0.0,4.44,22,1,3.77,0.0,3.77
17.02,0.0,44.98,66.63,0.5,0.0,4.42,23,1,38.28,19.32,57.6
13.73,0.0,48.99,90.86,6.49,0.0,4.05,0,1,0.0,173.94,173.94
13.74,0.0,14.1,84.74,4.58,0.0,3.55,1,1,0.0,0.0,0.0
12.86,0.0,26.81,76.43,1.59,0.0,4.25,2,1,7.49,0.0,7.49
13.54,0.0,62.3,88.29,3.02,0.0,2.0,3,1,33.39,14.95,48.34
17.06,0.0,17.44,86.35,5.81,0.0,5.37,4,1,29.9,75.61,105.51
11.29,0.0,42.09,79.9,1.75,0.0,5.95,5,1,0.0,11.22,11.22
15.91,0.0,14.04,66.61,2.3,0.0,4.07,6,1,0.0,3.98,3.98
13.5,255.98,23.85,83.91,3.97,0.0,3.83,7,1,734.62,11.61,746.22
16.42,519.18,15.7,84.84,1.78,0.0,4.13,8,1,1475.66,0.0,1475.66
20.05,658.03,22.78,77.07,3.13,0.0,4.77,9,1,1797.54,17.26,1814.81
19.81,663.26,37.88,84.49,9.03,0.0,5.2,10,1,1816.36,667.81,2484.17
19.3,877.46,26.68,62.14,3.99,0.0,4.79,11,1,2451.74,2.46,2454.19
20.88,918.06,27.07,65.82,4.95,0.0,5.44,12,1,2529.84,37.78,2567.62
23.77,914.8,14.05,72.25,4.69,0.0,4.65,13,1,2583.93,20.54,2604.47
22.16,613.39,55.73,59.95,2.19,0.0,6.0,14,1,1682.01,0.47,1682.48
23.75,514.72,54.58,64.44,6.16,0.0,4.62,15,1,1403.08,128.05,1531.13
23.32,442.97,36.54,66.8,1.62,0.0,3.69,16,1,1263.62,0.0,1263.62
21.77,140.44,67.09,81.0,7.18,0.0,2.14,17,1,371.33,248.78,620.12
25.17,1.5,39.52,79.24,2.22,0.0,3.78,18,1,15.25,11.19,26.44
21.87,0.0,3.08,78.54,7.92,0.0,4.04,19,1,0.0,385.82,385.82
16.68,0.0,9.33,93.98,5.69,0.0,4.48,20,1,56.38,75.95,132.32
18.7,0.0,17.71,87.75,1.95,0.0,3.6,21,1,10.32,0.0,10.32
16.13,0.0,37.93,85.96,1.88,0.0,3.85,22,1,30.33,0.0,30.33
17.2,0.0,6.87,84.44,1.34,0.0,1.94,23,1,0.0,2.69,2.69
13.74,0.0,28.27,77.82,2.4,0.0,5.31,0,1,0.0,16.44,16.44
13.96,0.0,41.37,71.09,4.67,0.0,5.28,1,1,14.07,32.45,46.52
14.39,0.0,19.29,76.02,3.86,0.0,4.77,2,1,0.0,0.0,0.0
14.76,0.0,29.72,88.02,4.39,0.0,4.44,3,1,6.81,0.0,6.81
11.83,0.0,34.28,82.29,0.8,0.0,4.32,4,1,0.0,0.0,0.0
13.63,0.0,36.27,87.53,1.3,0.0,4.02,5,1,45.08,0.0,45.08
14.22,34.96,21.91,67.31,4.88,0.0,5.48,6,1,97.71,18.63,116.34
14.98,192.7,44.51,85.23,6.18,0.0,3.46,7,1,529.4,72.24,601.64
19.82,455.29,19.58,68.38,3.0,0.0,2.31,8,1,1306.78,0.0,1306.78
19.07,624.15,28.16,70.29,1.92,0.0,4.32,9,1,1775.6,1.33,1776.93
17.87,795.01,25.68,90.89,2.73,0.0,4.98,10,1,2211.79,18.3,2230.09
22.34,898.53,23.16,89.4,3.28,0.0,4.04,11,1,2510.82,20.65,2531.47
25.18,879.62,30.7,60.19,4.49,0.0,5.21,12,1,2462.1,32.57,2494.66
24.34,687.25,50.86,67.94,3.27,0.0,5.69,13,1,1887.85,3.9,1891.76
21.01,851.43,6.03,72.79,6.79,0.0,4.29,14,1,2396.92,211.21,2608.13
22.74,673.72,23.79,77.61,3.22,0.0,5.98,15,1,1820.56,0.0,1820.56
25.19,458.34,9.69,65.01,2.01,0.0,1.85,16,1,1328.14,8.71,1336.85
21.73,261.12,6.03,66.48,2.4,0.0,3.08,17,1,744.24,0.0,744.24
22.66,0.0,15.83,74.15,3.56,0.0,4.96,18,1,0.0,2.3,2.3
22.13,0.0,54.57,73.1,5.56,0.0,4.69,19,1,0.0,78.11,78.11
18.37,0.0,32.1,83.9,6.42,0.0,3.41,20,1,35.18,127.47,162.66
18.37,0.0,20.67,71.49,2.04,0.0,3.87,21,1,0.0,11.58,11.58
12.31,0.0,16.88,82.59,0.5,0.0,6.25,22,1,0.0,0.0,0.0
14.43,0.0,34.48,87.91,6.42,0.0,5.3,23,1,0.0,144.1,144.1
14.59,0.0,25.94,81.0,2.29,0.0,1.82,0,1,42.92,6.31,49.23
12.31,0.0,21.75,70.8,5.91,0.0,3.71,1,1,0.0,102.71,102.71
16.13,0.0,8.46,92.65,4.03,0.0,4.0,2,1,7.81,6.22,14.04
11.36,0.0,13.7,84.69,3.24,0.0,5.01,3,1,18.69,0.0,18.69
13.02,0.0,50.89,82.85,1.79,0.0,4.59,4,1,34.57,19.1,53.67
14.37,0.0,30.31,95.0,4.75,0.0,5.22,5,1,0.0,29.09,29.09
17.13,30.94,13.46,95.0,5.88,0.0,4.41,6,1,101.5,71.03,172.53
13.85,228.02,33.16,89.98,3.54,0.0,4.32,7,1,621.4,42.98,664.38
18.96,388.45,43.71,67.56,3.46,0.0,4.72,8,1,1038.98,15.69,1054.66
18.52,684.87,17.07,87.77,5.34,0.0,3.52,9,1,1942.44,73.79,2016.23
18.33,789.18,23.3,62.83,3.75,0.0,4.52,10,1,2188.6,2.04,2190.64
21.7,871.27,24.8,74.05,5.58,0.0,5.75,11,1,2431.22,93.29,2524.52
